lat,lng,group,what_3_words,elevation
-21.807371293586815,-40.98114007672225,40,oppositely.painted.commenters,-24.54009437561035
-21.866171439274016,-41.014113508925234,41,solo.onside.touring,3.132064819335938
-21.99941134201426,-40.0630813494234,42,singulars.dwelt.trembled,-140.5590362548828
-22.131463707188292,-39.959576404924995,43,farmsteads.reissuing.backstreets,-337.6134338378906
-22.15823445430594,-40.147857353728554,44,rhythmically.beeswax.addition,-161.6997528076172
-22.433448917858033,-40.06199691995394,45,assemblers.disposes.wirelessly,-880.86669921875
-22.354021167361335,-40.084900994113205,46,reckonings.chatterbox.toolbars,-625.6351928710938
-22.3377610480088,-40.21912952006923,47,dungarees.brimmed.rediscover,-173.3696899414062
-22.553622524454497,-40.26188627822873,48,picnics.hyperspace.rampages,-832.8527221679688
-22.548606524751,-40.04232969517743,49,strikeout.winningly.distrust,-1127.140991210938
-22.562230529873,-40.12731504754673,50,fidgets.heirlooms.evenness,-999.621337890625
-22.499146008635016,-39.930133608537794,51,zipped.exempts.dogmatic,-1422.236694335938
-22.42331688750601,-39.95938235613487,52,spiderweb.swabbing.detach,-1068.50732421875
-22.08828533492502,-39.82836028178503,53,conscript.dabble.polyglot,-1263.127319335938
-21.955323253959698,-39.759242306358125,54,overshadows.entangle.ridicules,-1748.7734375
-20.051445612023763,-39.51429448062048,55,outgained.incinerated.navigable,-1424.230224609375
-15.922778809235286,-5.724516664351692,56,disbanding.donate.gritting,3
-7.915849907437544,-14.41477289290529,57,harvested.shop.restated,-0.0611792728304863
-9.70168185425112,-35.736800177465035,58,pads.families.tuxedos,-8.925008773803711
-10.851158582102185,-36.92539198775723,59,enlarging.opposable.disputing,-2.295240163803101
-13.043446079064621,-38.608551511790054,60,surge.falafel.socks,-18.97256088256836
-12.954414961545174,-38.550039746014434,61,tinsel.averts.sweeper,-19.93121337890625
-12.752866609361979,-38.62362008349337,62,wipes.salt.weekday,3.090406179428101
-12.788286742817423,-38.491763738243215,63,secretly.extremes.toddler,0.6496143341064453
-14.767658694591223,-39.021913095372,64,perky.episodes.whips,-0.001307264785282314
-8.379565869910934,-34.91484287008914,65,slogs.buttermilk.factory,-12.19041728973389
-8.063005553014655,-34.861176414281054,66,survey.watch.glitter,-0.1810718029737473
-7.035547630730226,-34.85670101684079,67,wizards.mistress.brother,0
-6.972005900677956,-34.840127039849754,68,womb.bells.mirror,2.774858474731445
-6.916139478137922,-34.79081281215831,69,prosthetics.enticements.static,-15.05161952972412
-5.779129345442428,-35.21140859458847,70,mildest.slowly.food,0
-4.87461804046802,-36.371475068478475,71,eardrum.saunas.pendulums,-11.90743064880371
-4.8270887049652105,-37.052568957533154,72,happily.equity.unionist,-8.428662300109863
-3.529079434598963,-38.79775651922501,73,pose.nakedly.poorly,-9.376898765563965
-3.4876084285532976,-38.778242882630856,74,residing.sculpt.coupler,-19.5452709197998
-3.6998058368292295,-38.494445873459114,75,flipping.defining.identify,-4.170661926269531
-3.650546765174667,-38.41955543065318,76,dishtowel.freshener.yucky,-16.98354148864746
-2.6723666153771286,-44.35966952158711,77,mornings.slumber.visitor,0
-2.571273830110204,-44.374257542371886,78,regulate.gangway.graver,10.53786468505859
-2.415855071160664,-44.27609227694718,79,fostering.dossiers.mixed,-19.84725379943848
-2.394266110717357,-44.350598826924816,80,spoiling.overdraw.tequila,-22.05901145935059
-2.1760718665605894,-44.161421987007905,81,officially.unconscious.stripers,-28.68306350708008
14.9067134345894,-23.49925057504943,82,revolts.admire.scooped,0
16.170869294797953,-22.923025051516404,83,wrong.erosions.launderers,0
16.752308765990104,-22.983276331274183,84,silvers.reinvested.visibly,0
16.88772208831195,-25.002739702787796,85,prove.anthems.dialect,0
39.37977672274117,-31.16796043772708,86,prostration.harmonicas.inlet,0
37.73660280923859,-25.65709191041507,87,sofa.bitty.villain,0.3024090826511383
38.721185596916875,-27.0538995801127,88,half.sums.benched,0
38.533033888913565,-28.622278240810402,89,linguistics.bronzes.differences,2.199409246444702
38.678503507450074,-28.202405734835743,90,syndicated.sharers.cuisines,0.4772061705589294
39.05278545778327,-27.96854930490389,91,foundations.cheerily.entertaining,3.93626856803894
36.94393048292093,-25.148839376926457,92,gaskets.uncorks.biopsies,0.498402863740921
23.657892267466078,-15.945465929013471,93,birthday.evokes.nouns,-0.3717994391918182
23.61396781749102,-16.028961859579535,94,thanking.imperative.pendulum,-14.95818519592285
27.087739200694113,-13.461854116305606,95,freed.witchcraft.toppling,-14.77225685119629
27.77021986627183,-15.697662484690346,96,dwarfish.trades.mods,0.1386543661355972
27.815479746837756,-15.763846184222396,97,limos.moviegoer.apps,0.0115811713039875
28.12294471010621,-15.404667475472868,98,elects.drops.pencil,-3.504105567932129
27.982689219101285,-15.372712317876488,99,cartoonist.thwarts.dozes,0.5065505504608154
28.48832312482717,-16.20333267750896,100,fracture.readily.assets,-0.2743440866470337
28.917808089253796,-13.695220609954545,101,lewdly.enable.slinks,0.4000000059604645
28.964218012486658,-13.536794380291136,102,strengthened.bootleg.bake,4.362459182739258
28.85364994588533,-13.80773281565459,103,ongoing.sustain.mischievous,0.7835126519203186
28.73812950196741,-13.847453749818857,104,nephews.forgiveness.darkened,0
28.049311179224578,-14.360426465078833,105,matting.fidget.potbelly,0.009829591028392315
28.210835420556073,-14.016460955530476,106,pralines.shortly.includes,0
28.493523288408902,-13.854879953472755,107,industrious.acknowledge.plodding,2.437381267547607
29.221922990197935,-13.520137926188113,108,legend.adverts.hence,2.330971002578735
32.64337324763012,-16.90385710933686,109,awesome.tunnel.ritual,0
32.73813541382417,-16.724836354445625,110,whittle.dangly.dropped,0
28.248002103453995,-16.84291043609185,111,equestrian.uplifts.rely,0.02282937802374363
